,geographic_name,site_type,longitude,latitude,geometry,date_mod,geo_database,google_maps,open_street_maps,aerial_photograph,cartographic_sheet,dictionary
147,mataredonda,locality,-75.5056539,3.7943682,POINT Z (-75.5056539 3.7943682 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
148,potrerito de lugo,locality,-75.5312623,3.8063064,POINT Z (-75.53126229999999 3.8063064 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,True
149,agua bonita,locality,-75.576764,3.8139164,POINT Z (-75.576764 3.8139164 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,True
150,barcelona,locality,-75.5526829,3.7959264,POINT Z (-75.55268289999999 3.7959264 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
151,pedregal,locality,-75.5150562,3.8290634,POINT Z (-75.5150562 3.8290634 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,True
152,potrerito,locality,-75.5301257,3.8430467,POINT Z (-75.5301257 3.8430467 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
153,potrerito lugo,locality,-75.5279535,3.8384309,POINT Z (-75.5279535 3.8384309 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
154,luxemburgo,locality,-75.576764,3.8276568,POINT Z (-75.576764 3.8276568 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,True
155,esc. la julia,school,-75.4952888,3.8191322,POINT Z (-75.4952888 3.8191322 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
156,brazuela,locality,-75.4579167,3.8054172,POINT Z (-75.4579167 3.8054172 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
157,calarma,locality,-75.448001,3.8055589,POINT Z (-75.448001 3.8055589 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
158,calarma,locality,-75.4223582,3.8046255,POINT Z (-75.42235820000001 3.8046255 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
159,esc. lirios,school,-75.4758981,3.8320422,POINT Z (-75.47589809999999 3.8320422 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
160,esc. vista hermosa,school,-75.4137859,3.8501421,POINT Z (-75.41378589999999 3.8501421 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
161,el cural,locality,-75.4903478,3.8415534,POINT Z (-75.4903478 3.8415534 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
162,miramar,locality,-75.4163584,3.8302853,POINT Z (-75.41635839999999 3.8302853 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
163,el curo,locality,-75.4904836,3.8419607,POINT Z (-75.4904836 3.8419607 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
164,la venta,locality,-75.3385029,3.7225499,POINT Z (-75.33850289999999 3.7225499 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
165,la vega,locality,-75.3232043,3.7207084,POINT Z (-75.3232043 3.7207084 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
166,la victoria,locality,-75.3200879,3.7120676,POINT Z (-75.3200879 3.7120676 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
167,tamareo,locality,-75.3037978,3.7066847,POINT Z (-75.3037978 3.7066847 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
168,pipini,locality,-75.3824154,3.7129175,POINT Z (-75.3824154 3.7129175 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
169,san jose,locality,-75.3674002,3.7107927,POINT Z (-75.36740020000001 3.7107927 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
170,el saman,locality,-75.3433191,3.7338822,POINT Z (-75.3433191 3.7338822 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
171,el porvenir,locality,-75.3264623,3.7313324,POINT Z (-75.3264623 3.7313324 0),2021-08-27T00:00:00+00:00,True,False,True,False,False,False
172,paujil,locality,-75.404655,3.7491808,POINT Z (-75.40465500000001 3.7491808 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,True
173,mosquitos,locality,-75.3971474,3.7341655,POINT Z (-75.39714739999999 3.7341655 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,True
174,capellania,locality,-75.3791574,3.725383,POINT Z (-75.3791574 3.725383 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
175,yaguaral,locality,-75.3383612,3.7865773,POINT Z (-75.33836119999999 3.7865773 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
176,vistahermosa,locality,-75.4035969,3.853093,POINT Z (-75.4035969 3.853093 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
177,la aguada,locality,-75.4016962,3.8300137,POINT Z (-75.4016962 3.8300137 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,True
178,lemaya,locality,-75.378161,3.7959755,POINT Z (-75.37816100000001 3.7959755 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
179,los planes,locality,-75.7880706,3.8945,POINT Z (-75.7880706 3.8945 0),2021-08-27T00:00:00+00:00,True,False,True,False,False,False
180,los pinos,locality,-75.7668919,3.8955861,POINT Z (-75.7668919 3.8955861 0),2021-08-27T00:00:00+00:00,True,False,True,False,False,False
181,la florida,locality,-75.7719151,3.9106555,POINT Z (-75.7719151 3.9106555 0),2021-08-27T00:00:00+00:00,True,False,True,False,False,False
182,el mirador,locality,-75.7985241,3.9255891,POINT Z (-75.79852409999999 3.9255891 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
