,geographic_name,site_type,longitude,latitude,geometry,date_mod
204,La Estacion,locality,-75.6652073,3.8847252,POINT Z (-75.66520730000001 3.8847252 0),2021-08-27T00:00:00+00:00
205,El Placer,locality,-75.6641212,3.8771226,POINT Z (-75.6641212 3.8771226 0),2021-08-27T00:00:00+00:00
206,San Jorge - Alto,hamlet,-75.5976201,3.8765248,POINT Z (-75.5976201 3.8765248 0),2021-08-27T00:00:00+00:00
207,Rionegro Hermosas,hamlet,-75.6390896,3.8713388,POINT Z (-75.63908960000001 3.8713388 0),2021-08-27T00:00:00+00:00
208,Boqueron Miraflores,locality,-75.712995,3.9633305,POINT Z (-75.71299500000001 3.9633305 0),2021-08-27T00:00:00+00:00
209,Paramo De Cumbarco,locality,-75.741392,4.0252857,POINT Z (-75.741392 4.0252857 0),2021-08-27T00:00:00+00:00
210,Iglesia Divino Niño,place_of_worship,-75.4777937,3.7198169,POINT Z (-75.47779370000001 3.7198169 0),2021-08-27T00:00:00+00:00
211,Restaurante Arroyave,restaurant,-75.4865097,3.7240861,POINT Z (-75.4865097 3.7240861 0),2021-08-27T00:00:00+00:00
212,Restaurante la Parilla,restaurant,-75.4847978,3.7242518,POINT Z (-75.4847978 3.7242518 0),2021-08-27T00:00:00+00:00
213,Colegio Soledad Medina,college,-75.495563,3.7199273,POINT Z (-75.495563 3.7199273 0),2021-08-27T00:00:00+00:00
214,POLITECNICO TOLIMENSE,school,-75.4828854,3.7235353,POINT Z (-75.4828854 3.7235353 0),2021-08-27T00:00:00+00:00
215,Cooperativa de Transportadores del Sur del Tolima - COINTRASUR,office,-75.4854573,3.7235377,POINT Z (-75.48545729999999 3.7235377 0),2021-08-27T00:00:00+00:00
